a52dec 0.7.4-9
lz4 1:1.7.5-1
lzo 2.10-1
m4 1.4.18-1
maim 4.4.61-1
make 4.2.1-1
man-db 2.7.6.1-2
man-pages 4.10-3
mba6x_bl-dkms 0.0-1
mba6x_bl-dkms-git 50.b96aafd-1
mdadm 4.0-1
mesa 17.0.3-1
mesa-demos 8.3.0-2
minizip 1:1.2.11-1
mkinitcpio 23-1
mkinitcpio-busybox 1.25.1-1
mongodb 3.4.1-1
mpfr 3.1.5.p2-1
mtdev 1.1.5-1
nano 2.8.0-1
nautilus 3.22.3-1
nautilus-sendto 3.8.4+33+g5ecfd0e-1
ncurses 6.0+20170128-1
net-snmp 5.7.3-3
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
nodejs 7.7.3-1
npm 4.4.4-1
npth 1.3-1
nspr 4.13.1-1
nss 3.29.3-2
ocl-icd 2.2.10-1
opencore-amr 0.1.4-1
openjpeg 1.5.2-1
openjpeg2 2.1.2-2
openresolv 3.9.0-1
openssh 7.4p1-2
openssl 1.0.2.k-1
opus 1.1.4-1
orc 0.4.26-2
p11-kit 0.23.5-1
pacaur 4.7.6-1
pacman 5.0.1-4
pacman-mirrorlist 20170316-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.4-1
pangomm 2.40.1-1
patch 2.7.5-1
pciutils 3.5.4-1
pcmciautils 018-7
pcre 8.40-1
perl 5.24.1-1
perl-clone 0.38-2
perl-dbi 1.636-2
perl-error 0.17024-1
perl-xml-libxml 2.0129-1
perl-xml-namespacesupport 1.11-3
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
pico-8 0.1.10c-1
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.1-2
playerctl 0.5.0-2
polkit 0.113+29+g3272a98-1
poppler 0.52.0-1
poppler-glib 0.52.0-1
popt 1.16-8
postman-bin 4.10.7-1
potrace 1.14-1
powertop 2.9-1
presentproto 1.1-1
procps-ng 3.3.12-1
psmisc 22.21-3
pygobject-devel 3.22.0-2
python 3.6.0-2
python-appdirs 1.4.3-1
python-beaker 1.8.1-2
python-cached-property 1.3.0-2
python-cairo 1.10.0-8
python-chardet 2.3.0-4
python-colorama 0.3.7-2
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-docker 2.1.0-1
python-docker-pycreds 0.2.1-2
python-dockerpty 0.4.1-2
python-docopt 0.6.2-4
python-gobject 3.22.0-2
python-jsonschema 2.6.0-1
python-mako 1.0.6-2
python-markupsafe 1.0-1
python-packaging 16.8-2
python-pycups 1.9.73-3
python-pycurl 7.43.0-2
python-pyparsing 2.2.0-1
python-requests 2.13.0-1
python-setuptools 1:34.4.1-1
python-six 1.10.0-3
python-texttable 0.8.8-1
python-urllib3 1.20-1
python-websocket-client 0.40.0-2
python-yaml 3.12-2
python2 2.7.13-1
qpdf 6.0.0-2
qt5-base 5.8.0-7
qt5-x11extras 5.8.0-1
randrproto 1.5.0-1
re2 20170101-1
readline 7.0.003-1
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rfkill 0.5-2
rofi-git 1.3.1.r227.gc5506e4-1
rtmpdump 1:2.4.r96.fa8646d-2
run-parts 4.8.1-1
rxvt-unicode 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.16-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl 1.2.15-8
sdl2 2.0.5-3
sdl_image 1.2.12-4
sed 4.4-1
semver 5.3.0-1
shadow 4.4-3
shared-mime-info 1.8-1
slop 5.3.37-1
snappy 1.1.4-1
speex 1.2.0-1
speexdsp 1.2rc3-2
spotify 1.0.53.758-1
spotify-now-git 60.bc365ee-1
sqlite 3.18.0-1
startup-notification 0.12-5
sudo 1.8.19.p2-1
sutils-git 35-1
sxhkd-git 164-1
sysfsutils 2.1.0-9
system-config-printer 1.5.9-2
systemd 232-8
systemd-sysvcompat 232-8
taglib 1.11.1-1
tar 1.29-2
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
tlp 0.9-2
tslib 1.8-1
ttf-bitstream-vera 1.10-11
ttf-dejavu 2.37-1
ttf-google-fonts-git 20170331-1
ttf-mac-fonts 20100901.134-1
ttf-material-icons r119.a6145e167-1
ttf-ms-fonts 2.0-10
tzdata 2017b-1
udisks2 2.1.8-1
unzip 6.0-12
usbutils 008-1
util-linux 2.29.2-2
v4l-utils 1.12.3-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0427-1
vim-plug 0.7.2-1
vim-runtime 8.0.0427-1
virtualbox 5.1.18-1
virtualbox-ext-oracle 5.1.18-1
virtualbox-host-dkms 5.1.18-1
vlc 2.2.4-7
wayland 1.13.0-1
wayland-protocols 1.7-1
webkit2gtk 2.14.5-1
wget 1.19.1-2
which 2.21-2
wiredtiger 2.9.1-1
wpa_actiond 1.4-2
wpa_supplicant 1:2.6-4
x265 2.2-1
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xclip 0.13-1
xdo-git 0.r48.020e055-1
xextproto 7.3.0-1
xf86-input-libinput 0.25.0-1
xf86driproto 2.1.1-3
xf86vidmodeproto 2.3.1-3
xfsprogs 4.10.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.20-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-iceauth 1.0.7-1
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.3-2
xorg-server-common 1.19.3-2
xorg-server-devel 1.19.3-2
xorg-server-utils 7.6-4
xorg-server-xephyr 1.19.3-2
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-1
xorg-util-macros 1.19.1-1
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
